id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw,position
1,H01S,test,station,-521.2587891,133.6039734,0,0,0,-0.998822631407808,0.0485113490596073,-174.438826192315,under
2,H01N,test,station,-561.1687012,149.5363617,0,0,0,0.0548930249872011,0.998492241235632,6.29344062775036,top
3,H02S,test,station,-521.4279175,137.0723572,0,0,0,-0.998822631407808,0.0485113490596073,-174.438826192315,top
4,H02N,test,station,-374.6099243,165.7845917,0,0,0,0.0478076739797892,0.998856559426148,5.48044490839107,top
5,H03N,test,station,-351.6308594,105.2836533,0,0,0,-0.680453207017219,0.732791534517138,-85.7581367936862,top
6,P01S,test,station,-492.17508,78.080842,0,0,0,0.0324153489841153,0.999474484491844,3.71517619350506,top
7,P02S,test,station,-445.9377747,81.76993561,0,0,0,0.0492037859916531,0.998788760171082,5.64061611035404,top
8,P03S,test,station,-391.1234741,84.9965744,0,0,0,0.050529503012653,0.998722568747345,5.7927213382538,top
9,P04S,test,station,-253.6399841,-82.70162201,0,0,0,-0.998380241183898,0.056893708031576,-173.476938988897,under
10,P05S,test,station,-371.1130066,86.63833618,0,0,0,0.0586537579790966,0.998278386360703,6.72508534558716,top
11,P06S,test,station,-598.1172485,-113.2659225,0,0,0,0.731830397014288,0.681486808387301,94.0801259412944,left
12,P0503N,test,station,-299.1639099,94.14928436,0,0,0,0.0376449569853146,0.999291177392042,4.31481383780269,left
13,D01S,test,station,-203.8314362,139.3622131,0,0,0,0.731577920997976,0.681757834944549,94.0376807057505,left
14,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.0277452440106493,0.999615026615141,3.17977882062023,under
15,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.0279792109932468,0.999608505242025,3.20659987464134,under
16,D04S,test,station,-5.420318127,139.3334961,0,0,0,-0.679137689012404,0.73401089866765,-85.5525914315161,right
17,D05S,test,station,-74.74835968,107.1001968,0,0,0,-0.999261961151739,0.0384126671188037,-175.597149376932,left
18,D06S,test,station,-128.8667145,102.7594681,0,0,0,-0.998949169234471,0.045831837032359,-174.746217933865,under
19,D07S,test,station,-3.649722576,75.56402588,0,0,0,-0.677709412003271,0.735329825916357,-85.3298133720641,right
20,D08S,test,station,1.918541431,12.06395817,0,0,0,-0.674306252004044,0.73845181190668,-84.8005996720221,right
21,D09S,test,station,-64.79610443,-20.25206947,0,0,0,-0.999305488586293,0.037263124953636,-175.728971612267,under
22,D10S,test,station,-118.9756699,-24.73381042,0,0,0,-0.998610911262754,0.0526901120417465,-173.959360662079,under
23,D11S,test,station,-190.3471832,60.60440674,0,0,0,-0.683711006992518,0.729752875237416,-86.2686385716133,right
24,D12S,test,station,-185.0778351,-3.256521225,0,0,0,-0.67054078599092,0.741872667189377,-84.2176333070422,right
25,D13S,test,station,-296.5957336,-91.29408264,0,0,0,-0.999137993070553,0.0415122970088173,-175.241673851711,under
26,D14S,test,station,-327.6259155,-93.96604156,0,0,0,-0.999387594231326,0.034991949024339,-175.989399269499,under
27,D15S,test,station,-408.239502,79.27981567,0,0,0,-0.999420755397379,0.0340316570406562,-176.099506221058,under
28,D16S,test,station,-594.9161377,55.6475563,0,0,0,0.73868365601372,0.674052265286753,95.2388073211096,left
29,D17S,test,station,-329.3824768,148.5884094,0,0,0,-0.999158973556625,0.0410042139452873,-175.299945500102,under
30,D18S,test,station,-277.6007385,4.761870861,0,0,0,0.747792350949965,0.663932677205094,96.79900937694,left
31,D19S,test,station,-280.7330322,41.65687561,0,0,0,0.73918827603779,0.673498843776499,95.3246299547479,left
32,D20S,test,station,-346.70401,56.75054169,0,0,0,0.738020439017891,0.674778357382511,95.1261185044075,right
33,D21S,test,station,-441.2451782,41.42373276,0,0,0,-0.681902103999702,0.731443450008803,-85.9849191225545,left
34,D22S,test,station,-498.4857788,36.8777504,0,0,0,-0.685579366983815,0.727997892556065,-86.5623762553421,left
35,D0301N,test,station,-32.03719711,175.4195251,0,0,0,0.0472170649818643,0.9988846523871,5.41268958205037,under
36,D04A,test,station,-9.250069618,139.6334229,0,0,0,-0.681638685008281,0.731688938757572,-85.9436575213356,left
37,D05A,test,station,-75.06613159,110.9835968,0,0,0,-0.999261961151739,0.0384126671188037,-175.597149376932,top
38,D06A,test,station,-129.3100128,106.470108,0,0,0,-0.998949169234471,0.045831837032359,-174.746217933865,top
39,D0601N,test,station,-177.8662109,98.79068756,0,0,0,-0.999602043306823,0.0282091300260018,-176.767042941203,left
40,D07A,test,station,-7.468642235,75.48867035,0,0,0,-0.672940630969709,0.739696496672851,-84.5888636805361,left
41,D08A,test,station,-1.93028152,11.80293941,0,0,0,-0.668188821027527,0.743991733458002,-83.8548611634763,left
42,D0801N,test,station,-22.20582199,-16.79517746,0,0,0,-0.999105313607454,0.0422915159500315,-175.152303444742,under
43,D09A,test,station,-65.14937592,-16.57766342,0,0,0,-0.999175936251987,0.0405887720307733,-175.347591303365,top
44,D10A,test,station,-119.2720795,-20.96955681,0,0,0,-0.998951751702871,0.0457755149590431,-174.752678748933,top
45,D1001N,test,station,-167.1255646,-28.65904236,0,0,0,-0.998860568969188,0.0477238279955667,-174.529174113149,under
46,D11A,test,station,-194.1721039,60.15076447,0,0,0,-0.684734106982005,0.72879297659593,-86.4293995150681,left
47,D12A,test,station,-188.8972931,-3.592179775,0,0,0,-0.67840199998634,0.734690905357167,-85.4377910749385,left
48,D1201N,test,station,-239.354263305664,-81.5552062988281,0,0,0,-0.998948114512929,0.0458548199327386,-174.74358151566,under
49,D1401N,test,station,-338.4438477,-43.3931427,0,0,0,0.735565115005639,0.677454029131676,94.7099783496918,right
50,D1402N,test,station,-345.1366882,37.00048447,0,0,0,0.740407400980791,0.672158374620796,95.5322629057474,right
51,D1501N,test,station,-491.138397216797,73.0269317626953,0,0,0,-0.999124117668226,0.041844921958217,-175.203524691032,under
52,D1601N,test,station,-557.416748,72.70305634,0,0,0,0.0321375609943197,0.999483455177391,3.68332744071962,top
53,D17A,test,station,-329.5690918,152.7172394,0,0,0,-0.998212590015875,0.0597630750028662,-173.147572877635,top
54,D18A,test,station,-273.7931519,4.693547249,0,0,0,0.739308575986851,0.673366786730898,95.3451002353235,right
55,D19A,test,station,-276.9655762,41.81489182,0,0,0,0.737317321993278,0.675546568852703,95.0067823843656,right
56,D1901N,test,station,-324.8078308,87.04704285,0,0,0,-0.999472730643381,0.0324693809651917,-176.278628936615,under
57,D2201N,test,station,-577.8773193,65.94400024,0,0,0,-0.999550027032933,0.0299957240029686,-176.562227572025,under
58,D2202N,test,station,-574.9590454,-112.2962189,0,0,0,-0.674877268994895,0.737929991119749,-84.8892403255646,right
59,P0401N,test,station,-273.206543,-46.03031921,0,0,0,0.737250551997544,0.675619436946064,94.9954569397226,left
60,P0501N,test,station,-361.2113647,125.8203659,0,0,0,0.74123891401049,0.671241292201656,95.6741184750299,left
61,P0502N,test,station,-412.9035034,154.9431152,0,0,0,-0.999334213228384,0.03648465802506,-175.818238061246,under
62,P0504N,test,station,-212.4976196,101.2537308,0,0,0,0.0467891600228923,0.998904787506974,5.363601029839,top
63,P0601N,test,station,-590.6154175,-7.062565327,0,0,0,0.736008877993206,0.676971883843917,94.7850677145314,left
64,J0910C,test,junction,-193.501907348633,92.4101867675781,0,0,0,-0.682843012692923,0.730565137422018,-86.1324150813315,left
65,J0203C,test,junction,-361.547424316406,159.042327880859,0,0,0,-0.414578313046351,0.910013638552545,-48.9855273134925,center
66,J0305C,test,junction,-359.266418457031,84.3002166748047,0,0,0,-0.996656110765426,0.0817104453171926,-170.626222059615,center
67,O02C,u-turn หน้า office 2,junction,-459.718322753906,75.5984420776367,0,0,0,-0.999011039339517,0.0444628302942775,-174.903254686859,center
68,O01C,u-turn หน้า office 1,junction,-520.844543457031,70.6365509033203,0,0,0,-0.998865216530307,0.0476264548949738,-174.540344950985,center
69,D1112C,จุดแยก D11 D12,junction,-188.236907958984,35.6705436706543,0,0,0,-0.677480458526593,0.735540772707127,-85.2941390773305,left
70,D0506C,จุดแยก D05 D06,junction,-92.3467483520508,105.671661376953,0,0,0,-0.999154319467913,0.0411174645207024,-175.28695698621,under
71,D0910C,จุดแยก D09 D10,junction,-82.8136138916016,-21.7745513916016,0,0,0,-0.999455829717638,0.0329855186927012,-176.219452208916,under
72,D0407C,จุดแยก D04 D07,junction,-4.35967254638672,127.274353027344,0,0,0,-0.683852979768725,0.729619833928215,-86.2909342903304,right
73,D0708C,จุดแยก D07 D08,junction,-1.64846801757813,52.836238861084,0,0,0,-0.680753649726849,0.732512435651146,-85.805127996485,left
74,D1819C,จุดแยก D18 D19,junction,-278.567901611328,16.1201400756836,0,0,0,0.739005456064807,0.673699440334075,95.293528927017,left
75,P07S,จุดเดียวกับ D18S,station,-277.6007385,4.761870861,0,0,0,0.747792350949965,0.663932677205094,96.79900937694,left*2
